author,n_artigos_pub,affiliation,city,country
Wu T.,1,Jiangxi University of Finance and Economics,Nanchang,China
da Silva L.P.,1,Pontifícia Universidade Católica do Paraná,Curitiba,Brazil
Wang Z.H.,1,Ira A. Fulton Schools of Engineering,Tempe,United States
Cappa F.,1,LUISS University,Rome,Italy
Bannan T.J.,1,The University of Manchester,Manchester,United Kingdom
Shaharuddin S.,1,Universiti Kebangsaan Malaysia,Bangi,Malaysia
Greera C.,1,Arizona State University,Tempe,United States
Zhang K.,1,Universal Village Society,Cambridge,United States
Gorgan D.,1,Universitatea Tehnica din Cluj-Napoca,Cluj Napoca,Romania
Avril E.,1,Université de la Sorbonne Nouvelle Paris III,Paris,France
Madyatmadja E.D.,1,Bina Nusantara University,Jakarta,Indonesia
Sun R.Y.,1,Northwest A&amp;F University,Yangling,China
Xu M.,1,Beijing Jiaotong University,Beijing,China
Chokhachian A.,1,Technische Universität München,Munich,Germany
Dawodu A.,1,University of Nottingham Ningbo China,Ningbo,China
Luo Q.,1,Wuhan University,Wuhan,China
Tironi M.,1,Pontificia Universidad Católica de Chile,Santiago,Chile
Rittenbruch M.,1,Queensland University of Technology,Brisbane,Australia
Zhang D.,1,Nankai University Business School,Tianjin,China
Yoffe H.,1,Technion - Israel Institute of Technology,Haifa,Israel
Lee M.,1,Ewha Womans University,Seoul,South Korea
